timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540465779864,50,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,17,17,44,0,0
1540465779911,6,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,17,17,2,0,0
1540465779913,6,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,17,17,2,0,0
1540465779913,8,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,17,17,2,0,0
1540465779912,11,HTTP Request,200,,Spike Test 1-39,text,true,,3548,273,17,17,2,0,0
1540465779865,61,HTTP Request,200,,Spike Test 1-37,text,true,,3548,273,18,18,3,0,1
1540465779868,58,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,18,18,5,0,0
1540465779914,31,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,19,19,5,0,0
1540465779879,66,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,19,19,2,0,0
1540465779905,45,HTTP Request,200,,Spike Test 1-35,text,true,,3548,273,19,19,39,0,3
1540465779885,66,HTTP Request,200,,Spike Test 1-36,text,true,,3548,273,19,19,17,0,15
1540465779945,7,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,19,19,2,0,0
1540465779945,9,HTTP Request,200,,Spike Test 1-46,text,true,,3548,273,19,19,4,0,0
1540465779883,72,HTTP Request,200,,Spike Test 1-41,text,true,,3548,273,19,19,17,0,0
1540465779884,79,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,19,19,16,0,0
1540465779922,43,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,19,19,4,0,0
1540465779926,40,HTTP Request,200,,Spike Test 1-37,text,true,,3548,273,20,20,2,0,0
1540465779884,83,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,20,20,16,0,0
1540465779884,83,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,20,20,16,0,0
1540465779884,83,HTTP Request,200,,Spike Test 1-45,text,true,,3548,273,20,20,16,0,0
1540465779945,25,HTTP Request,200,,Spike Test 1-33,text,true,,3548,273,20,20,7,0,1
1540465779924,47,HTTP Request,200,,Spike Test 1-39,text,true,,3548,273,20,20,2,0,0
1540465779967,5,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,20,20,0,0,0
1540465779965,10,HTTP Request,200,,Spike Test 1-32,text,true,,3548,273,20,20,2,0,1
1540465779917,60,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,20,20,6,0,0
1540465779926,52,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,20,20,9,0,0
1540465779919,61,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,20,20,5,0,0
1540465779925,55,HTTP Request,200,,Spike Test 1-34,text,true,,3548,273,20,20,2,0,0
1540465779884,96,HTTP Request,200,,Spike Test 1-47,text,true,,3548,273,20,20,16,0,0
1540465779951,43,HTTP Request,200,,Spike Test 1-36,text,true,,3548,273,21,21,3,0,0
1540465779965,31,HTTP Request,200,,Spike Test 1-44,text,true,,3548,273,21,21,2,0,0
1540465779972,39,HTTP Request,200,,Spike Test 1-42,text,true,,3548,273,22,22,5,0,0
1540465779980,33,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,22,22,3,0,0
1540465779978,37,HTTP Request,200,,Spike Test 1-40,text,true,,3548,273,22,22,3,0,0
1540465779967,48,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,22,22,0,0,0
1540465779975,41,HTTP Request,200,,Spike Test 1-32,text,true,,3548,273,22,22,5,0,0
1540465779966,55,HTTP Request,200,,Spike Test 1-37,text,true,,3548,273,22,22,1,0,0
1540465779915,106,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,22,22,4,0,0
1540465779963,58,HTTP Request,200,,Spike Test 1-43,text,true,,3548,273,22,22,4,0,0
1540465779977,45,HTTP Request,200,,Spike Test 1-38,text,true,,3548,273,22,22,4,0,0
